,County,Type of school,Professional qualification,0
158,Grand Kru,Private,AA Certificate,1.0
159,Grand Kru,Private,B.Sc. in Education,11.0
160,Grand Kru,Private,In-service C Certificate,4.0
161,Grand Kru,Private,No teaching certificate,18.0
162,Grand Kru,Private,Pre-service C Certificate,2.0
163,Grand Kru,Public,AA Certificate,18.0
164,Grand Kru,Public,B.Sc. in Education,45.0
165,Grand Kru,Public,In-service B Certificate,18.0
166,Grand Kru,Public,In-service C Certificate,124.0
167,Grand Kru,Public,No teaching certificate,131.0
168,Grand Kru,Public,Pre-service B Certificate,14.0
169,Grand Kru,Public,Pre-service C Certificate,269.0
170,Lofa,Community,AA Certificate,10.0
171,Lofa,Community,In-service B Certificate,1.0
172,Lofa,Community,In-service C Certificate,4.0
173,Lofa,Community,No teaching certificate,22.0
174,Lofa,Community,Pre-service C Certificate,1.0
175,Lofa,Faith-based,AA Certificate,20.0
176,Lofa,Faith-based,B.Sc. in Education,2.0
177,Lofa,Faith-based,In-service C Certificate,14.0
178,Lofa,Faith-based,M.Sc. in Education,0.0
179,Lofa,Faith-based,No teaching certificate,21.0
180,Lofa,Faith-based,Pre-service B Certificate,1.0
181,Lofa,Faith-based,Pre-service C Certificate,8.0
182,Lofa,Private,AA Certificate,27.0
183,Lofa,Private,B.Sc. in Education,12.0
184,Lofa,Private,In-service C Certificate,7.0
185,Lofa,Private,No teaching certificate,47.0
186,Lofa,Private,PhD in Education,1.0
187,Lofa,Private,Pre-service B Certificate,6.0
188,Lofa,Private,Pre-service C Certificate,20.0
189,Lofa,Public,AA Certificate,62.0
190,Lofa,Public,B.Sc. in Education,7.0
191,Lofa,Public,In-service B Certificate,20.0
192,Lofa,Public,In-service C Certificate,195.0
193,Lofa,Public,M.Sc. in Education,1.0
194,Lofa,Public,No teaching certificate,309.0
195,Lofa,Public,Pre-service B Certificate,17.0
196,Lofa,Public,Pre-service C Certificate,224.0
197,Margibi,Community,AA Certificate,25.0
198,Margibi,Community,B.Sc. in Education,30.0
199,Margibi,Community,In-service B Certificate,12.0
200,Margibi,Community,In-service C Certificate,28.0
201,Margibi,Community,M.Sc. in Education,2.0
202,Margibi,Community,No teaching certificate,47.0
203,Margibi,Community,Pre-service B Certificate,16.0
204,Margibi,Community,Pre-service C Certificate,85.0
205,Margibi,Faith-based,AA Certificate,46.0
206,Margibi,Faith-based,B.Sc. in Education,46.0
207,Margibi,Faith-based,In-service B Certificate,10.0
208,Margibi,Faith-based,In-service C Certificate,91.0
209,Margibi,Faith-based,M.Sc. in Education,6.0
210,Margibi,Faith-based,No teaching certificate,94.0
211,Margibi,Faith-based,PhD in Education,2.0
212,Margibi,Faith-based,Pre-service B Certificate,18.0
213,Margibi,Faith-based,Pre-service C Certificate,153.0
214,Margibi,Private,AA Certificate,100.0
215,Margibi,Private,B.Sc. in Education,80.0
216,Margibi,Private,In-service B Certificate,30.0
217,Margibi,Private,In-service C Certificate,157.0
218,Margibi,Private,M.Sc. in Education,6.0
219,Margibi,Private,No teaching certificate,144.0
220,Margibi,Private,Pre-service B Certificate,40.0
221,Margibi,Private,Pre-service C Certificate,243.0
222,Margibi,Public,AA Certificate,46.0
223,Margibi,Public,B.Sc. in Education,106.0
224,Margibi,Public,In-service B Certificate,35.0
225,Margibi,Public,In-service C Certificate,142.0
226,Margibi,Public,M.Sc. in Education,11.0
227,Margibi,Public,No teaching certificate,75.0
228,Margibi,Public,Pre-service B Certificate,29.0
229,Margibi,Public,Pre-service C Certificate,225.0
230,Maryland,Private,B.Sc. in Education,5.0
231,Maryland,Private,In-service C Certificate,2.0
232,Maryland,Private,No teaching certificate,18.0
233,Maryland,Private,Pre-service C Certificate,2.0
234,Maryland,Public,B.Sc. in Education,3.0
235,Maryland,Public,In-service B Certificate,4.0
236,Maryland,Public,In-service C Certificate,26.0
237,Maryland,Public,No teaching certificate,24.0
238,Maryland,Public,Pre-service C Certificate,25.0
239,Montserrado 1,Community,AA Certificate,28.0
240,Montserrado 1,Community,B.Sc. in Education,20.0
241,Montserrado 1,Community,In-service B Certificate,2.0
242,Montserrado 1,Community,In-service C Certificate,56.0
243,Montserrado 1,Community,M.Sc. in Education,1.0
244,Montserrado 1,Community,No teaching certificate,61.0
245,Montserrado 1,Community,Pre-service B Certificate,15.0
246,Montserrado 1,Community,Pre-service C Certificate,43.0
247,Montserrado 1,Faith-based,AA Certificate,464.0
248,Montserrado 1,Faith-based,B.Sc. in Education,426.0
249,Montserrado 1,Faith-based,In-service B Certificate,117.0
250,Montserrado 1,Faith-based,In-service C Certificate,583.0
251,Montserrado 1,Faith-based,M.Sc. in Education,42.0
252,Montserrado 1,Faith-based,No teaching certificate,887.0
253,Montserrado 1,Faith-based,PhD in Education,3.0
254,Montserrado 1,Faith-based,Pre-service B Certificate,109.0
255,Montserrado 1,Faith-based,Pre-service C Certificate,540.0
256,Montserrado 1,Private,AA Certificate,839.0
257,Montserrado 1,Private,B.Sc. in Education,467.0
258,Montserrado 1,Private,In-service B Certificate,179.0
259,Montserrado 1,Private,In-service C Certificate,941.0
260,Montserrado 1,Private,M.Sc. in Education,35.0
261,Montserrado 1,Private,No teaching certificate,1157.0
262,Montserrado 1,Private,PhD in Education,2.0
263,Montserrado 1,Private,Pre-service B Certificate,232.0
264,Montserrado 1,Private,Pre-service C Certificate,842.0
265,Montserrado 1,Public,AA Certificate,121.0
266,Montserrado 1,Public,B.Sc. in Education,163.0
267,Montserrado 1,Public,In-service B Certificate,26.0
268,Montserrado 1,Public,In-service C Certificate,123.0
269,Montserrado 1,Public,M.Sc. in Education,8.0
270,Montserrado 1,Public,No teaching certificate,47.0
271,Montserrado 1,Public,Pre-service B Certificate,33.0
272,Montserrado 1,Public,Pre-service C Certificate,169.0
273,Montserrado 2,Community,AA Certificate,18.0
274,Montserrado 2,Community,B.Sc. in Education,5.0
275,Montserrado 2,Community,In-service B Certificate,3.0
276,Montserrado 2,Community,In-service C Certificate,31.0
277,Montserrado 2,Community,M.Sc. in Education,1.0
278,Montserrado 2,Community,No teaching certificate,3.0
279,Montserrado 2,Community,Pre-service B Certificate,6.0
280,Montserrado 2,Community,Pre-service C Certificate,27.0
281,Montserrado 2,Faith-based,AA Certificate,191.0
282,Montserrado 2,Faith-based,B.Sc. in Education,165.0
283,Montserrado 2,Faith-based,In-service B Certificate,52.0
284,Montserrado 2,Faith-based,In-service C Certificate,409.0
285,Montserrado 2,Faith-based,M.Sc. in Education,9.0
286,Montserrado 2,Faith-based,No teaching certificate,349.0
287,Montserrado 2,Faith-based,PhD in Education,4.0
288,Montserrado 2,Faith-based,Pre-service B Certificate,87.0
289,Montserrado 2,Faith-based,Pre-service C Certificate,351.0
290,Montserrado 2,Private,AA Certificate,393.0
291,Montserrado 2,Private,B.Sc. in Education,352.0
292,Montserrado 2,Private,In-service B Certificate,128.0
293,Montserrado 2,Private,In-service C Certificate,699.0
294,Montserrado 2,Private,M.Sc. in Education,17.0
295,Montserrado 2,Private,No teaching certificate,666.0
296,Montserrado 2,Private,PhD in Education,3.0
297,Montserrado 2,Private,Pre-service B Certificate,184.0
298,Montserrado 2,Private,Pre-service C Certificate,758.0
299,Montserrado 2,Public,AA Certificate,141.0
300,Montserrado 2,Public,B.Sc. in Education,172.0
301,Montserrado 2,Public,In-service B Certificate,36.0
302,Montserrado 2,Public,In-service C Certificate,180.0
303,Montserrado 2,Public,M.Sc. in Education,11.0
304,Montserrado 2,Public,No teaching certificate,30.0
305,Montserrado 2,Public,PhD in Education,1.0
306,Montserrado 2,Public,Pre-service B Certificate,46.0
307,Montserrado 2,Public,Pre-service C Certificate,159.0
308,Nimba,Community,AA Certificate,28.0
309,Nimba,Community,B.Sc. in Education,17.0
310,Nimba,Community,In-service B Certificate,8.0
311,Nimba,Community,In-service C Certificate,74.0
312,Nimba,Community,No teaching certificate,73.0
313,Nimba,Community,Pre-service B Certificate,7.0
