,County,Professional qualification,count,Level(s) teaching/ECE,Level(s) teaching/Primary (Lower Basic),Level(s) teaching/Junior Secondary (Upper Basic),Level(s) teaching/Senior High
111,Gbarpolu,Pre-service C Certificate,Bokomu,2.0,2.0,0.0,0.0
112,Gbarpolu,Pre-service C Certificate,Bopolu,25.0,70.0,6.0,0.0
113,Gbarpolu,Pre-service C Certificate,Gbarma,0.0,0.0,1.0,0.0
114,Gbarpolu,Pre-service C Certificate,Gorwalali,15.0,22.0,2.0,0.0
115,Gbarpolu,Pre-service C Certificate,Kongba,3.0,7.0,8.0,0.0
116,Grand Bassa,AA Certificate,District 1,1.0,7.0,1.0,4.0
117,Grand Bassa,AA Certificate,District 2,0.0,2.0,4.0,3.0
118,Grand Bassa,AA Certificate,District 3A,19.0,33.0,5.0,2.0
119,Grand Bassa,AA Certificate,District 3B,3.0,6.0,4.0,0.0
120,Grand Bassa,AA Certificate,District 4,0.0,7.0,0.0,0.0
121,Grand Bassa,AA Certificate,District 5,2.0,10.0,4.0,0.0
122,Grand Bassa,AA Certificate,District 5B,2.0,2.0,0.0,0.0
123,Grand Bassa,B.Sc. in Education,District 1,0.0,0.0,0.0,4.0
124,Grand Bassa,B.Sc. in Education,District 2,1.0,2.0,0.0,2.0
125,Grand Bassa,B.Sc. in Education,District 3A,0.0,3.0,2.0,8.0
126,Grand Bassa,B.Sc. in Education,District 3B,0.0,1.0,0.0,0.0
127,Grand Bassa,B.Sc. in Education,District 5,0.0,0.0,1.0,0.0
128,Grand Bassa,In-service B Certificate,District 2,1.0,3.0,1.0,0.0
129,Grand Bassa,In-service B Certificate,District 3A,0.0,1.0,0.0,2.0
130,Grand Bassa,In-service B Certificate,District 3B,1.0,1.0,1.0,0.0
131,Grand Bassa,In-service B Certificate,District 4,0.0,3.0,0.0,0.0
132,Grand Bassa,In-service B Certificate,District 5,0.0,2.0,0.0,0.0
133,Grand Bassa,In-service C Certificate,District 1,11.0,30.0,17.0,0.0
134,Grand Bassa,In-service C Certificate,District 2,7.0,15.0,1.0,0.0
135,Grand Bassa,In-service C Certificate,District 3A,6.0,18.0,2.0,0.0
136,Grand Bassa,In-service C Certificate,District 3B,5.0,11.0,4.0,0.0
137,Grand Bassa,In-service C Certificate,District 4,2.0,13.0,4.0,0.0
138,Grand Bassa,In-service C Certificate,District 5,2.0,8.0,2.0,0.0
139,Grand Bassa,In-service C Certificate,District 5B,2.0,4.0,1.0,0.0
140,Grand Bassa,M.Sc. in Education,District 4,0.0,0.0,2.0,0.0
141,Grand Bassa,No teaching certificate,District 1,36.0,39.0,0.0,0.0
142,Grand Bassa,No teaching certificate,District 2,22.0,37.0,4.0,0.0
143,Grand Bassa,No teaching certificate,District 3A,29.0,32.0,1.0,4.0
144,Grand Bassa,No teaching certificate,District 3B,44.0,55.0,8.0,0.0
145,Grand Bassa,No teaching certificate,District 4,23.0,31.0,3.0,0.0
146,Grand Bassa,No teaching certificate,District 5,3.0,0.0,0.0,0.0
147,Grand Bassa,No teaching certificate,District 5B,1.0,0.0,0.0,0.0
148,Grand Bassa,PhD in Education,District 1,1.0,1.0,0.0,0.0
149,Grand Bassa,Pre-service B Certificate,District 1,0.0,2.0,0.0,0.0
150,Grand Bassa,Pre-service B Certificate,District 2,1.0,1.0,0.0,0.0
151,Grand Bassa,Pre-service B Certificate,District 3A,0.0,2.0,1.0,0.0
152,Grand Bassa,Pre-service B Certificate,District 4,0.0,3.0,0.0,0.0
153,Grand Bassa,Pre-service B Certificate,District 5,0.0,3.0,1.0,0.0
154,Grand Bassa,Pre-service C Certificate,District 1,9.0,22.0,4.0,0.0
155,Grand Bassa,Pre-service C Certificate,District 2,6.0,11.0,1.0,0.0
156,Grand Bassa,Pre-service C Certificate,District 3A,8.0,14.0,2.0,2.0
157,Grand Bassa,Pre-service C Certificate,District 3B,6.0,13.0,1.0,0.0
158,Grand Bassa,Pre-service C Certificate,District 4,8.0,24.0,3.0,0.0
159,Grand Bassa,Pre-service C Certificate,District 5,4.0,22.0,0.0,0.0
160,Grand Bassa,Pre-service C Certificate,District 5B,2.0,0.0,0.0,0.0
161,Grand Cape Mount,AA Certificate,Garwular,1.0,27.0,34.0,8.0
162,Grand Cape Mount,AA Certificate,Gola Konneh,3.0,10.0,9.0,3.0
163,Grand Cape Mount,AA Certificate,Porkpa,1.0,1.0,7.0,5.0
164,Grand Cape Mount,AA Certificate,Tallah Tombay,1.0,8.0,6.0,9.0
165,Grand Cape Mount,AA Certificate,Tewor,4.0,21.0,17.0,12.0
166,Grand Cape Mount,B.Sc. in Education,Garwular,1.0,6.0,15.0,7.0
167,Grand Cape Mount,B.Sc. in Education,Gola Konneh,0.0,2.0,2.0,3.0
168,Grand Cape Mount,B.Sc. in Education,Porkpa,0.0,0.0,1.0,2.0
169,Grand Cape Mount,B.Sc. in Education,Tallah Tombay,0.0,0.0,1.0,2.0
170,Grand Cape Mount,B.Sc. in Education,Tewor,2.0,3.0,9.0,11.0
171,Grand Cape Mount,In-service B Certificate,Garwular,4.0,14.0,9.0,1.0
172,Grand Cape Mount,In-service B Certificate,Gola Konneh,2.0,15.0,10.0,1.0
173,Grand Cape Mount,In-service B Certificate,Porkpa,1.0,3.0,2.0,0.0
174,Grand Cape Mount,In-service B Certificate,Tallah Tombay,0.0,1.0,1.0,0.0
175,Grand Cape Mount,In-service B Certificate,Tewor,4.0,5.0,3.0,0.0
176,Grand Cape Mount,In-service C Certificate,Garwular,2.0,14.0,6.0,0.0
177,Grand Cape Mount,In-service C Certificate,Gola Konneh,13.0,24.0,8.0,0.0
178,Grand Cape Mount,In-service C Certificate,Porkpa,24.0,34.0,2.0,0.0
179,Grand Cape Mount,In-service C Certificate,Tallah Tombay,7.0,11.0,0.0,0.0
180,Grand Cape Mount,In-service C Certificate,Tewor,24.0,46.0,11.0,1.0
181,Grand Cape Mount,M.Sc. in Education,Garwular,0.0,0.0,0.0,0.0
182,Grand Cape Mount,M.Sc. in Education,Tewor,0.0,0.0,1.0,0.0
183,Grand Cape Mount,No teaching certificate,Garwular,26.0,42.0,10.0,16.0
184,Grand Cape Mount,No teaching certificate,Gola Konneh,39.0,30.0,5.0,2.0
185,Grand Cape Mount,No teaching certificate,Porkpa,25.0,27.0,1.0,0.0
186,Grand Cape Mount,No teaching certificate,Tallah Tombay,29.0,45.0,10.0,7.0
187,Grand Cape Mount,No teaching certificate,Tewor,26.0,25.0,1.0,3.0
188,Grand Cape Mount,PhD in Education,Garwular,0.0,0.0,1.0,0.0
189,Grand Cape Mount,Pre-service B Certificate,Garwular,1.0,10.0,7.0,1.0
190,Grand Cape Mount,Pre-service B Certificate,Gola Konneh,6.0,9.0,5.0,1.0
191,Grand Cape Mount,Pre-service B Certificate,Porkpa,1.0,2.0,1.0,1.0
192,Grand Cape Mount,Pre-service B Certificate,Tallah Tombay,0.0,4.0,2.0,0.0
193,Grand Cape Mount,Pre-service B Certificate,Tewor,3.0,5.0,1.0,0.0
194,Grand Cape Mount,Pre-service C Certificate,Garwular,25.0,60.0,14.0,2.0
195,Grand Cape Mount,Pre-service C Certificate,Gola Konneh,13.0,39.0,16.0,1.0
196,Grand Cape Mount,Pre-service C Certificate,Porkpa,9.0,14.0,8.0,3.0
197,Grand Cape Mount,Pre-service C Certificate,Tallah Tombay,3.0,8.0,1.0,0.0
198,Grand Cape Mount,Pre-service C Certificate,Tewor,22.0,39.0,11.0,1.0
199,Grand Gedeh,AA Certificate,Cavalla,2.0,14.0,22.0,8.0
200,Grand Gedeh,AA Certificate,Gbarzon,0.0,0.0,2.0,0.0
201,Grand Gedeh,AA Certificate,Konobo,6.0,6.0,4.0,1.0
202,Grand Gedeh,AA Certificate,Putu,0.0,0.0,2.0,0.0
203,Grand Gedeh,AA Certificate,Tchien,4.0,21.0,37.0,24.0
204,Grand Gedeh,B.Sc. in Education,Cavalla,0.0,7.0,9.0,20.0
205,Grand Gedeh,B.Sc. in Education,Gbarzon,0.0,1.0,2.0,0.0
206,Grand Gedeh,B.Sc. in Education,Konobo,2.0,4.0,2.0,2.0
207,Grand Gedeh,B.Sc. in Education,Putu,0.0,1.0,1.0,0.0
