County,Type of school,Professional qualification,0
Lofa,Public,Pre-service C Certificate,224.0
Margibi,Community,AA Certificate,25.0
Margibi,Community,B.Sc. in Education,30.0
Margibi,Community,In-service B Certificate,12.0
Margibi,Community,In-service C Certificate,28.0
Margibi,Community,M.Sc. in Education,2.0
Margibi,Community,No teaching certificate,47.0
Margibi,Community,Pre-service B Certificate,16.0
Margibi,Community,Pre-service C Certificate,85.0
Margibi,Faith-based,AA Certificate,46.0
Margibi,Faith-based,B.Sc. in Education,46.0
Margibi,Faith-based,In-service B Certificate,10.0
Margibi,Faith-based,In-service C Certificate,91.0
Margibi,Faith-based,M.Sc. in Education,6.0
Margibi,Faith-based,No teaching certificate,94.0
Margibi,Faith-based,PhD in Education,2.0
Margibi,Faith-based,Pre-service B Certificate,18.0
Margibi,Faith-based,Pre-service C Certificate,153.0
Margibi,Private,AA Certificate,100.0
Margibi,Private,B.Sc. in Education,80.0
Margibi,Private,In-service B Certificate,30.0
Margibi,Private,In-service C Certificate,157.0
Margibi,Private,M.Sc. in Education,6.0
Margibi,Private,No teaching certificate,144.0
Margibi,Private,Pre-service B Certificate,40.0
Margibi,Private,Pre-service C Certificate,243.0
Margibi,Public,AA Certificate,46.0
Margibi,Public,B.Sc. in Education,106.0
Margibi,Public,In-service B Certificate,35.0
Margibi,Public,In-service C Certificate,142.0
Margibi,Public,M.Sc. in Education,11.0
Margibi,Public,No teaching certificate,75.0
Margibi,Public,Pre-service B Certificate,29.0
Margibi,Public,Pre-service C Certificate,225.0
Maryland,Private,B.Sc. in Education,5.0
Maryland,Private,In-service C Certificate,2.0
Maryland,Private,No teaching certificate,18.0
Maryland,Private,Pre-service C Certificate,2.0
Maryland,Public,B.Sc. in Education,3.0
Maryland,Public,In-service B Certificate,4.0
Maryland,Public,In-service C Certificate,26.0
Maryland,Public,No teaching certificate,24.0
Maryland,Public,Pre-service C Certificate,25.0
Montserrado 1,Community,AA Certificate,28.0
Montserrado 1,Community,B.Sc. in Education,20.0
Montserrado 1,Community,In-service B Certificate,2.0
Montserrado 1,Community,In-service C Certificate,56.0
Montserrado 1,Community,M.Sc. in Education,1.0
Montserrado 1,Community,No teaching certificate,61.0
Montserrado 1,Community,Pre-service B Certificate,15.0
Montserrado 1,Community,Pre-service C Certificate,43.0
Montserrado 1,Faith-based,AA Certificate,464.0
Montserrado 1,Faith-based,B.Sc. in Education,426.0
Montserrado 1,Faith-based,In-service B Certificate,117.0
Montserrado 1,Faith-based,In-service C Certificate,583.0
Montserrado 1,Faith-based,M.Sc. in Education,42.0
Montserrado 1,Faith-based,No teaching certificate,887.0
Montserrado 1,Faith-based,PhD in Education,3.0
Montserrado 1,Faith-based,Pre-service B Certificate,109.0
Montserrado 1,Faith-based,Pre-service C Certificate,540.0
Montserrado 1,Private,AA Certificate,839.0
Montserrado 1,Private,B.Sc. in Education,467.0
Montserrado 1,Private,In-service B Certificate,179.0
Montserrado 1,Private,In-service C Certificate,941.0
Montserrado 1,Private,M.Sc. in Education,35.0
Montserrado 1,Private,No teaching certificate,1157.0
Montserrado 1,Private,PhD in Education,2.0
Montserrado 1,Private,Pre-service B Certificate,232.0
Montserrado 1,Private,Pre-service C Certificate,842.0
Montserrado 1,Public,AA Certificate,121.0
Montserrado 1,Public,B.Sc. in Education,163.0
Montserrado 1,Public,In-service B Certificate,26.0
Montserrado 1,Public,In-service C Certificate,123.0
Montserrado 1,Public,M.Sc. in Education,8.0
Montserrado 1,Public,No teaching certificate,47.0
Montserrado 1,Public,Pre-service B Certificate,33.0
Montserrado 1,Public,Pre-service C Certificate,169.0
Montserrado 2,Community,AA Certificate,18.0
Montserrado 2,Community,B.Sc. in Education,5.0
Montserrado 2,Community,In-service B Certificate,3.0
Montserrado 2,Community,In-service C Certificate,31.0
Montserrado 2,Community,M.Sc. in Education,1.0
Montserrado 2,Community,No teaching certificate,3.0
Montserrado 2,Community,Pre-service B Certificate,6.0
Montserrado 2,Community,Pre-service C Certificate,27.0
Montserrado 2,Faith-based,AA Certificate,191.0
Montserrado 2,Faith-based,B.Sc. in Education,165.0
Montserrado 2,Faith-based,In-service B Certificate,52.0
Montserrado 2,Faith-based,In-service C Certificate,409.0
Montserrado 2,Faith-based,M.Sc. in Education,9.0
Montserrado 2,Faith-based,No teaching certificate,349.0
Montserrado 2,Faith-based,PhD in Education,4.0
Montserrado 2,Faith-based,Pre-service B Certificate,87.0
Montserrado 2,Faith-based,Pre-service C Certificate,351.0
Montserrado 2,Private,AA Certificate,393.0
Montserrado 2,Private,B.Sc. in Education,352.0
Montserrado 2,Private,In-service B Certificate,128.0
Montserrado 2,Private,In-service C Certificate,699.0
Montserrado 2,Private,M.Sc. in Education,17.0
Montserrado 2,Private,No teaching certificate,666.0
Montserrado 2,Private,PhD in Education,3.0
Montserrado 2,Private,Pre-service B Certificate,184.0
Montserrado 2,Private,Pre-service C Certificate,758.0
Montserrado 2,Public,AA Certificate,141.0
Montserrado 2,Public,B.Sc. in Education,172.0
Montserrado 2,Public,In-service B Certificate,36.0
Montserrado 2,Public,In-service C Certificate,180.0
Montserrado 2,Public,M.Sc. in Education,11.0
Montserrado 2,Public,No teaching certificate,30.0
Montserrado 2,Public,PhD in Education,1.0
Montserrado 2,Public,Pre-service B Certificate,46.0
Montserrado 2,Public,Pre-service C Certificate,159.0
Nimba,Community,AA Certificate,28.0
Nimba,Community,B.Sc. in Education,17.0
Nimba,Community,In-service B Certificate,8.0
Nimba,Community,In-service C Certificate,74.0
Nimba,Community,No teaching certificate,73.0
Nimba,Community,Pre-service B Certificate,7.0
Nimba,Community,Pre-service C Certificate,65.0
Nimba,Faith-based,AA Certificate,135.0
Nimba,Faith-based,B.Sc. in Education,112.0
Nimba,Faith-based,In-service B Certificate,37.0
Nimba,Faith-based,In-service C Certificate,176.0
Nimba,Faith-based,M.Sc. in Education,8.0
Nimba,Faith-based,No teaching certificate,287.0
Nimba,Faith-based,Pre-service B Certificate,8.0
Nimba,Faith-based,Pre-service C Certificate,152.0
Nimba,Private,AA Certificate,222.0
Nimba,Private,B.Sc. in Education,141.0
Nimba,Private,In-service B Certificate,33.0
Nimba,Private,In-service C Certificate,211.0
Nimba,Private,M.Sc. in Education,6.0
Nimba,Private,No teaching certificate,280.0
Nimba,Private,Pre-service B Certificate,25.0
Nimba,Private,Pre-service C Certificate,244.0
Nimba,Public,AA Certificate,290.0
Nimba,Public,B.Sc. in Education,146.0
Nimba,Public,In-service B Certificate,48.0
Nimba,Public,In-service C Certificate,1661.0
Nimba,Public,M.Sc. in Education,4.0
Nimba,Public,No teaching certificate,386.0
Nimba,Public,Pre-service B Certificate,105.0
Nimba,Public,Pre-service C Certificate,887.0
River Gee,Faith-based,AA Certificate,10.0
River Gee,Faith-based,B.Sc. in Education,10.0
River Gee,Faith-based,In-service B Certificate,3.0
River Gee,Faith-based,In-service C Certificate,40.0
River Gee,Faith-based,No teaching certificate,20.0
River Gee,Faith-based,Pre-service B Certificate,1.0
River Gee,Faith-based,Pre-service C Certificate,19.0
River Gee,Private,No teaching certificate,3.0
River Gee,Private,Pre-service C Certificate,11.0
River Gee,Public,AA Certificate,6.0
