County,count,Professional qualification,Level(s) teaching/ECE,Level(s) teaching/Primary (Lower Basic),Level(s) teaching/Junior Secondary (Upper Basic),Level(s) teaching/Senior High
River Gee,Gbeapo,No teaching certificate,19.0,17.0,2.0,0.0
River Gee,Gbeapo,Pre-service B Certificate,0.0,1.0,3.0,0.0
River Gee,Gbeapo,Pre-service C Certificate,11.0,25.0,9.0,1.0
River Gee,Putupo,AA Certificate,0.0,8.0,4.0,1.0
River Gee,Putupo,B.Sc. in Education,0.0,4.0,1.0,7.0
River Gee,Putupo,In-service B Certificate,0.0,1.0,1.0,0.0
River Gee,Putupo,In-service C Certificate,4.0,10.0,1.0,0.0
River Gee,Putupo,No teaching certificate,0.0,0.0,2.0,1.0
River Gee,Putupo,Pre-service C Certificate,1.0,1.0,0.0,0.0
River Gee,Sarbo,In-service B Certificate,2.0,2.0,2.0,0.0
River Gee,Sarbo,In-service C Certificate,5.0,14.0,6.0,0.0
River Gee,Sarbo,No teaching certificate,8.0,7.0,0.0,0.0
River Gee,Sarbo,Pre-service C Certificate,1.0,10.0,2.0,0.0
River Gee,Tienpo,In-service B Certificate,0.0,2.0,1.0,0.0
River Gee,Tienpo,In-service C Certificate,9.0,25.0,1.0,0.0
River Gee,Tienpo,No teaching certificate,9.0,6.0,0.0,0.0
River Gee,Tienpo,Pre-service C Certificate,2.0,5.0,2.0,0.0
River Gee,Webbo,B.Sc. in Education,0.0,0.0,0.0,6.0
River Gee,Webbo,In-service B Certificate,0.0,0.0,1.0,0.0
River Gee,Webbo,In-service C Certificate,19.0,30.0,3.0,0.0
River Gee,Webbo,No teaching certificate,46.0,47.0,0.0,0.0
River Gee,Webbo,Pre-service B Certificate,0.0,1.0,0.0,0.0
River Gee,Webbo,Pre-service C Certificate,12.0,28.0,6.0,0.0
Rivercess,Central Rivercess 1,AA Certificate,0.0,1.0,1.0,0.0
Rivercess,Central Rivercess 1,B.Sc. in Education,0.0,0.0,2.0,0.0
Rivercess,Central Rivercess 1,In-service B Certificate,0.0,0.0,2.0,0.0
Rivercess,Central Rivercess 1,In-service C Certificate,1.0,7.0,0.0,0.0
Rivercess,Central Rivercess 1,No teaching certificate,11.0,22.0,2.0,0.0
Rivercess,Central Rivercess 1,Pre-service C Certificate,4.0,5.0,0.0,0.0
Rivercess,Central Rivercess 2,In-service C Certificate,1.0,0.0,0.0,0.0
Rivercess,Central Rivercess 2,No teaching certificate,5.0,7.0,0.0,0.0
Rivercess,Central Rivercess 2,Pre-service C Certificate,0.0,1.0,0.0,0.0
Rivercess,Morwah,In-service C Certificate,0.0,0.0,0.0,0.0
Rivercess,Morwah,Pre-service C Certificate,1.0,1.0,0.0,0.0
Rivercess,Timobo,AA Certificate,1.0,2.0,4.0,1.0
Rivercess,Timobo,B.Sc. in Education,0.0,1.0,2.0,3.0
Rivercess,Timobo,In-service B Certificate,0.0,2.0,2.0,0.0
Rivercess,Timobo,In-service C Certificate,2.0,11.0,2.0,0.0
Rivercess,Timobo,No teaching certificate,3.0,8.0,0.0,0.0
Rivercess,Timobo,Pre-service B Certificate,2.0,2.0,0.0,0.0
Rivercess,Timobo,Pre-service C Certificate,4.0,6.0,0.0,0.0
Rivercess,Yarnee,AA Certificate,1.0,2.0,2.0,0.0
Rivercess,Yarnee,In-service B Certificate,0.0,1.0,1.0,0.0
Rivercess,Yarnee,In-service C Certificate,14.0,18.0,7.0,0.0
Rivercess,Yarnee,No teaching certificate,8.0,11.0,1.0,0.0
Rivercess,Yarnee,Pre-service C Certificate,12.0,12.0,3.0,0.0
Sinoe,Butaw,AA Certificate,1.0,5.0,4.0,0.0
Sinoe,Butaw,B.Sc. in Education,0.0,1.0,0.0,0.0
Sinoe,Butaw,In-service C Certificate,7.0,12.0,0.0,0.0
Sinoe,Butaw,No teaching certificate,5.0,7.0,1.0,0.0
Sinoe,Butaw,Pre-service B Certificate,0.0,1.0,1.0,0.0
Sinoe,Butaw,Pre-service C Certificate,10.0,19.0,3.0,0.0
Sinoe,Central Kpanyan,AA Certificate,0.0,1.0,4.0,2.0
Sinoe,Central Kpanyan,B.Sc. in Education,0.0,1.0,4.0,5.0
Sinoe,Central Kpanyan,In-service C Certificate,9.0,20.0,5.0,0.0
Sinoe,Central Kpanyan,No teaching certificate,21.0,21.0,4.0,0.0
Sinoe,Central Kpanyan,Pre-service C Certificate,1.0,3.0,0.0,0.0
Sinoe,Greenville,AA Certificate,2.0,17.0,26.0,3.0
Sinoe,Greenville,B.Sc. in Education,1.0,1.0,13.0,22.0
Sinoe,Greenville,In-service B Certificate,1.0,4.0,3.0,0.0
Sinoe,Greenville,In-service C Certificate,15.0,55.0,32.0,1.0
Sinoe,Greenville,M.Sc. in Education,0.0,0.0,0.0,2.0
Sinoe,Greenville,No teaching certificate,33.0,50.0,17.0,11.0
Sinoe,Greenville,Pre-service B Certificate,1.0,9.0,9.0,1.0
Sinoe,Greenville,Pre-service C Certificate,10.0,42.0,20.0,0.0
Sinoe,Jeadea,AA Certificate,0.0,4.0,5.0,0.0
Sinoe,Jeadea,In-service B Certificate,0.0,5.0,5.0,0.0
Sinoe,Jeadea,In-service C Certificate,14.0,41.0,13.0,0.0
Sinoe,Jeadea,No teaching certificate,29.0,26.0,2.0,0.0
Sinoe,Jeadea,Pre-service B Certificate,0.0,3.0,3.0,0.0
Sinoe,Jeadea,Pre-service C Certificate,9.0,24.0,10.0,0.0
Sinoe,Juarzon,AA Certificate,0.0,3.0,7.0,4.0
Sinoe,Juarzon,B.Sc. in Education,0.0,1.0,6.0,8.0
Sinoe,Juarzon,In-service B Certificate,0.0,1.0,1.0,0.0
Sinoe,Juarzon,In-service C Certificate,19.0,50.0,6.0,0.0
Sinoe,Juarzon,No teaching certificate,28.0,21.0,1.0,1.0
Sinoe,Juarzon,Pre-service B Certificate,0.0,0.0,1.0,0.0
Sinoe,Juarzon,Pre-service C Certificate,1.0,20.0,10.0,0.0
Sinoe,Lower Kpanyan,AA Certificate,0.0,2.0,1.0,1.0
Sinoe,Lower Kpanyan,B.Sc. in Education,0.0,1.0,6.0,0.0
Sinoe,Lower Kpanyan,In-service B Certificate,1.0,1.0,0.0,0.0
Sinoe,Lower Kpanyan,In-service C Certificate,26.0,34.0,8.0,1.0
Sinoe,Lower Kpanyan,No teaching certificate,40.0,43.0,5.0,0.0
Sinoe,Lower Kpanyan,Pre-service B Certificate,0.0,1.0,1.0,0.0
Sinoe,Lower Kpanyan,Pre-service C Certificate,11.0,25.0,10.0,0.0
Sinoe,Tarjuwon,AA Certificate,0.0,1.0,0.0,0.0
Sinoe,Tarjuwon,B.Sc. in Education,0.0,6.0,9.0,7.0
Sinoe,Tarjuwon,In-service C Certificate,5.0,21.0,6.0,0.0
Sinoe,Tarjuwon,No teaching certificate,11.0,21.0,1.0,0.0
Sinoe,Tarjuwon,Pre-service B Certificate,0.0,1.0,2.0,0.0
Sinoe,Tarjuwon,Pre-service C Certificate,10.0,26.0,6.0,0.0
Sinoe,Upper Kpanyan,In-service B Certificate,0.0,1.0,2.0,0.0
Sinoe,Upper Kpanyan,In-service C Certificate,8.0,36.0,4.0,0.0
Sinoe,Upper Kpanyan,No teaching certificate,36.0,38.0,0.0,0.0
Sinoe,Upper Kpanyan,Pre-service B Certificate,1.0,1.0,2.0,0.0
Sinoe,Upper Kpanyan,Pre-service C Certificate,5.0,20.0,3.0,0.0
