County,count,Professional qualification,Level(s) teaching/ECE,Level(s) teaching/Primary (Lower Basic),Level(s) teaching/Junior Secondary (Upper Basic),Level(s) teaching/Senior High
Grand Bassa,District 4,Pre-service B Certificate,0.0,3.0,0.0,0.0
Grand Bassa,District 4,Pre-service C Certificate,8.0,24.0,3.0,0.0
Grand Bassa,District 5,AA Certificate,2.0,10.0,4.0,0.0
Grand Bassa,District 5,B.Sc. in Education,0.0,0.0,1.0,0.0
Grand Bassa,District 5,In-service B Certificate,0.0,2.0,0.0,0.0
Grand Bassa,District 5,In-service C Certificate,2.0,8.0,2.0,0.0
Grand Bassa,District 5,No teaching certificate,3.0,0.0,0.0,0.0
Grand Bassa,District 5,Pre-service B Certificate,0.0,3.0,1.0,0.0
Grand Bassa,District 5,Pre-service C Certificate,4.0,22.0,0.0,0.0
Grand Bassa,District 5B,AA Certificate,2.0,2.0,0.0,0.0
Grand Bassa,District 5B,In-service C Certificate,2.0,4.0,1.0,0.0
Grand Bassa,District 5B,No teaching certificate,1.0,0.0,0.0,0.0
Grand Bassa,District 5B,Pre-service C Certificate,2.0,0.0,0.0,0.0
Grand Cape Mount,Garwular,AA Certificate,1.0,27.0,34.0,8.0
Grand Cape Mount,Garwular,B.Sc. in Education,1.0,6.0,15.0,7.0
Grand Cape Mount,Garwular,In-service B Certificate,4.0,14.0,9.0,1.0
Grand Cape Mount,Garwular,In-service C Certificate,2.0,14.0,6.0,0.0
Grand Cape Mount,Garwular,M.Sc. in Education,0.0,0.0,0.0,0.0
Grand Cape Mount,Garwular,No teaching certificate,26.0,42.0,10.0,16.0
Grand Cape Mount,Garwular,PhD in Education,0.0,0.0,1.0,0.0
Grand Cape Mount,Garwular,Pre-service B Certificate,1.0,10.0,7.0,1.0
Grand Cape Mount,Garwular,Pre-service C Certificate,25.0,60.0,14.0,2.0
Grand Cape Mount,Gola Konneh,AA Certificate,3.0,10.0,9.0,3.0
Grand Cape Mount,Gola Konneh,B.Sc. in Education,0.0,2.0,2.0,3.0
Grand Cape Mount,Gola Konneh,In-service B Certificate,2.0,15.0,10.0,1.0
Grand Cape Mount,Gola Konneh,In-service C Certificate,13.0,24.0,8.0,0.0
Grand Cape Mount,Gola Konneh,No teaching certificate,39.0,30.0,5.0,2.0
Grand Cape Mount,Gola Konneh,Pre-service B Certificate,6.0,9.0,5.0,1.0
Grand Cape Mount,Gola Konneh,Pre-service C Certificate,13.0,39.0,16.0,1.0
Grand Cape Mount,Porkpa,AA Certificate,1.0,1.0,7.0,5.0
Grand Cape Mount,Porkpa,B.Sc. in Education,0.0,0.0,1.0,2.0
Grand Cape Mount,Porkpa,In-service B Certificate,1.0,3.0,2.0,0.0
Grand Cape Mount,Porkpa,In-service C Certificate,24.0,34.0,2.0,0.0
Grand Cape Mount,Porkpa,No teaching certificate,25.0,27.0,1.0,0.0
Grand Cape Mount,Porkpa,Pre-service B Certificate,1.0,2.0,1.0,1.0
Grand Cape Mount,Porkpa,Pre-service C Certificate,9.0,14.0,8.0,3.0
Grand Cape Mount,Tallah Tombay,AA Certificate,1.0,8.0,6.0,9.0
Grand Cape Mount,Tallah Tombay,B.Sc. in Education,0.0,0.0,1.0,2.0
Grand Cape Mount,Tallah Tombay,In-service B Certificate,0.0,1.0,1.0,0.0
Grand Cape Mount,Tallah Tombay,In-service C Certificate,7.0,11.0,0.0,0.0
Grand Cape Mount,Tallah Tombay,No teaching certificate,29.0,45.0,10.0,7.0
Grand Cape Mount,Tallah Tombay,Pre-service B Certificate,0.0,4.0,2.0,0.0
Grand Cape Mount,Tallah Tombay,Pre-service C Certificate,3.0,8.0,1.0,0.0
Grand Cape Mount,Tewor,AA Certificate,4.0,21.0,17.0,12.0
Grand Cape Mount,Tewor,B.Sc. in Education,2.0,3.0,9.0,11.0
Grand Cape Mount,Tewor,In-service B Certificate,4.0,5.0,3.0,0.0
Grand Cape Mount,Tewor,In-service C Certificate,24.0,46.0,11.0,1.0
Grand Cape Mount,Tewor,M.Sc. in Education,0.0,0.0,1.0,0.0
Grand Cape Mount,Tewor,No teaching certificate,26.0,25.0,1.0,3.0
Grand Cape Mount,Tewor,Pre-service B Certificate,3.0,5.0,1.0,0.0
Grand Cape Mount,Tewor,Pre-service C Certificate,22.0,39.0,11.0,1.0
Grand Gedeh,Cavalla,AA Certificate,2.0,14.0,22.0,8.0
Grand Gedeh,Cavalla,B.Sc. in Education,0.0,7.0,9.0,20.0
Grand Gedeh,Cavalla,In-service B Certificate,1.0,7.0,8.0,0.0
Grand Gedeh,Cavalla,In-service C Certificate,54.0,131.0,40.0,3.0
Grand Gedeh,Cavalla,M.Sc. in Education,0.0,1.0,0.0,1.0
Grand Gedeh,Cavalla,No teaching certificate,17.0,9.0,4.0,0.0
Grand Gedeh,Cavalla,PhD in Education,0.0,0.0,0.0,0.0
Grand Gedeh,Cavalla,Pre-service B Certificate,1.0,4.0,6.0,0.0
Grand Gedeh,Cavalla,Pre-service C Certificate,31.0,46.0,5.0,0.0
Grand Gedeh,Gbarzon,AA Certificate,0.0,0.0,2.0,0.0
Grand Gedeh,Gbarzon,B.Sc. in Education,0.0,1.0,2.0,0.0
Grand Gedeh,Gbarzon,In-service B Certificate,1.0,0.0,0.0,0.0
Grand Gedeh,Gbarzon,In-service C Certificate,10.0,19.0,8.0,0.0
Grand Gedeh,Gbarzon,No teaching certificate,2.0,3.0,1.0,0.0
Grand Gedeh,Gbarzon,Pre-service B Certificate,0.0,0.0,1.0,0.0
Grand Gedeh,Gbarzon,Pre-service C Certificate,6.0,5.0,1.0,0.0
Grand Gedeh,Konobo,AA Certificate,6.0,6.0,4.0,1.0
Grand Gedeh,Konobo,B.Sc. in Education,2.0,4.0,2.0,2.0
Grand Gedeh,Konobo,In-service C Certificate,53.0,77.0,11.0,3.0
Grand Gedeh,Konobo,No teaching certificate,14.0,18.0,1.0,1.0
Grand Gedeh,Konobo,Pre-service C Certificate,11.0,14.0,0.0,0.0
Grand Gedeh,Putu,AA Certificate,0.0,0.0,2.0,0.0
Grand Gedeh,Putu,B.Sc. in Education,0.0,1.0,1.0,0.0
Grand Gedeh,Putu,In-service B Certificate,1.0,3.0,1.0,0.0
Grand Gedeh,Putu,In-service C Certificate,6.0,10.0,1.0,0.0
Grand Gedeh,Putu,No teaching certificate,11.0,13.0,0.0,0.0
Grand Gedeh,Putu,PhD in Education,0.0,0.0,0.0,0.0
Grand Gedeh,Putu,Pre-service C Certificate,2.0,14.0,1.0,0.0
Grand Gedeh,Tchien,AA Certificate,4.0,21.0,37.0,24.0
Grand Gedeh,Tchien,B.Sc. in Education,0.0,6.0,28.0,46.0
Grand Gedeh,Tchien,In-service B Certificate,6.0,6.0,3.0,1.0
Grand Gedeh,Tchien,In-service C Certificate,35.0,129.0,27.0,3.0
Grand Gedeh,Tchien,M.Sc. in Education,0.0,2.0,0.0,0.0
Grand Gedeh,Tchien,No teaching certificate,41.0,52.0,10.0,1.0
Grand Gedeh,Tchien,Pre-service B Certificate,1.0,5.0,7.0,3.0
Grand Gedeh,Tchien,Pre-service C Certificate,42.0,90.0,5.0,0.0
Grand Kru,Barclayville,AA Certificate,1.0,2.0,3.0,0.0
Grand Kru,Barclayville,B.Sc. in Education,0.0,2.0,6.0,19.0
Grand Kru,Barclayville,In-service C Certificate,1.0,7.0,5.0,0.0
Grand Kru,Barclayville,M.Sc. in Education,0.0,1.0,0.0,0.0
Grand Kru,Barclayville,No teaching certificate,12.0,31.0,8.0,9.0
Grand Kru,Barclayville,Pre-service B Certificate,0.0,0.0,1.0,0.0
Grand Kru,Barclayville,Pre-service C Certificate,24.0,64.0,24.0,1.0
Grand Kru,Buah,AA Certificate,0.0,1.0,0.0,0.0
Grand Kru,Buah,B.Sc. in Education,0.0,0.0,3.0,3.0
Grand Kru,Buah,In-service C Certificate,20.0,28.0,2.0,1.0
Grand Kru,Buah,No teaching certificate,12.0,14.0,6.0,4.0
Grand Kru,Buah,Pre-service B Certificate,0.0,0.0,1.0,1.0
Grand Kru,Buah,Pre-service C Certificate,3.0,23.0,4.0,0.0
Grand Kru,Dorbor,AA Certificate,2.0,2.0,2.0,0.0
Grand Kru,Dorbor,In-service C Certificate,2.0,2.0,0.0,0.0
Grand Kru,Dorbor,No teaching certificate,6.0,12.0,3.0,1.0
Grand Kru,Dorbor,Pre-service C Certificate,0.0,6.0,3.0,0.0
Grand Kru,Grand Cess,AA Certificate,0.0,1.0,0.0,0.0
Grand Kru,Grand Cess,B.Sc. in Education,0.0,0.0,4.0,7.0
Grand Kru,Grand Cess,In-service B Certificate,1.0,0.0,0.0,0.0
Grand Kru,Grand Cess,In-service C Certificate,1.0,9.0,6.0,3.0
Grand Kru,Grand Cess,No teaching certificate,3.0,6.0,1.0,0.0
Grand Kru,Grand Cess,Pre-service C Certificate,1.0,1.0,0.0,0.0
Grand Kru,Jloh,In-service C Certificate,1.0,1.0,1.0,0.0
Grand Kru,Jloh,No teaching certificate,12.0,17.0,6.0,0.0
Grand Kru,Jloh,Pre-service B Certificate,0.0,0.0,1.0,0.0
Grand Kru,Jloh,Pre-service C Certificate,3.0,9.0,6.0,0.0
Grand Kru,Sass Town,AA Certificate,0.0,0.0,1.0,2.0
Grand Kru,Sass Town,B.Sc. in Education,0.0,0.0,0.0,6.0
Grand Kru,Sass Town,In-service B Certificate,0.0,1.0,1.0,0.0
Grand Kru,Sass Town,In-service C Certificate,3.0,5.0,5.0,1.0
Grand Kru,Sass Town,No teaching certificate,0.0,4.0,5.0,5.0
Grand Kru,Sass Town,Pre-service B Certificate,0.0,1.0,0.0,0.0
Grand Kru,Sass Town,Pre-service C Certificate,2.0,10.0,8.0,0.0
Grand Kru,Trehn,AA Certificate,0.0,2.0,1.0,0.0
Grand Kru,Trehn,B.Sc. in Education,0.0,0.0,4.0,9.0
Grand Kru,Trehn,In-service B Certificate,2.0,7.0,4.0,0.0
Grand Kru,Trehn,In-service C Certificate,3.0,14.0,6.0,0.0
Grand Kru,Trehn,No teaching certificate,6.0,7.0,2.0,0.0
Grand Kru,Trehn,Pre-service B Certificate,1.0,3.0,0.0,0.0
Grand Kru,Trehn,Pre-service C Certificate,15.0,28.0,6.0,0.0
Grand Kru,Wedabo,AA Certificate,2.0,3.0,1.0,0.0
Grand Kru,Wedabo,B.Sc. in Education,1.0,3.0,6.0,0.0
Grand Kru,Wedabo,In-service B Certificate,0.0,1.0,1.0,0.0
Grand Kru,Wedabo,In-service C Certificate,3.0,10.0,2.0,0.0
Grand Kru,Wedabo,No teaching certificate,11.0,9.0,0.0,0.0
Grand Kru,Wedabo,Pre-service B Certificate,1.0,2.0,2.0,0.0
Grand Kru,Wedabo,Pre-service C Certificate,12.0,47.0,13.0,0.0
